Дата,Имя,Почта,Школа,Класс,Результат
01.05.2024,Абдуллин Алмаз,almaz.abdullin@mail.kz,Гимназия N15,9A,Артист
01.05.2024,Абдулин Данияр,daniyar.abdulin@mail.kz,Гимназия N15,10B,Социолог
02.05.2024,Агзамова Амина,amina.agzamova@mail.kz,Гимназия N15,11A,Художник
02.05.2024,Айтжанова Назерке,nazerke.aitzhanova@mail.kz,Гимназия N15,9C,Интеллектуал
03.05.2024,Алимова Диана,dianna.alimova@mail.kz,Гимназия N15,10A,Прагматик
03.05.2024,Амангалиев Ернар,ernar.amangaliyev@mail.kz,Гимназия N15,11C,Контролер
04.05.2024,Аманжолова Акмарал,akmaral.amanzholova@mail.kz,Гимназия N15,9B,Генетик
04.05.2024,Аргынова Айдана,aidana.argynova@mail.kz,Гимназия N15,10C,Флорист
05.05.2024,Асанова Балнур,balnur.asanova@mail.kz,Гимназия N15,11B,Фармацевт
05.05.2024,Аширбеков Ербол,erbol.ashirbekov@mail.kz,Гимназия N15,9A,Астрофизик
06.05.2024,Ахметжанова Жанар,janar.akhmetzhanova@mail.kz,Гимназия N15,10B,Врач-педиатр
06.05.2024,Ахметов Ильяс,ilyas.akhmetov@mail.kz,Гимназия N15,11A,Хирург
07.05.2024,Ахметова Аружан,aruzhan.akhmetova@mail.kz,Гимназия N15,9C,Геолог
07.05.2024,Аяпова Жазира,zhazira.ayapova@mail.kz,Гимназия N15,10A,Косметолог
08.05.2024,Базарбаев Алимжан,alimzhan.bazarbaev@mail.kz,Гимназия N15,11C,Гид по туризму
08.05.2024,Байжанова Назерке,nazerke.baizhanova@mail.kz,Гимназия N15,9B,Инструктор по йоге
09.05.2024,Баймуханова Жазира,zhazira.baimuhanova@mail.kz,Гимназия N15,10C,Балерина
09.05.2024,Балгожина Айдана,aidana.balgozhina@mail.kz,Гимназия N15,11B,Ресторатор
10.05.2024,Бекжанова Мадина,madina.bekzhanova@mail.kz,Гимназия N15,9A,Консультант по управлению бизнес-процессами
10.05.2024,Бекмуханова Гульмира,gulmira.bekmukhanova@mail.kz,Гимназия N15,10B,Артист
11.05.2024,Бекназаров Арман,arman.beknazarov@mail.kz,Гимназия N15,11A,Социолог
11.05.2024,Бексултанова Аружан,aruzhan.beksultanova@mail.kz,Гимназия N15,9C,Художник
12.05.2024,Бектемирова Асель,asel.bektemirova@mail.kz,Гимназия N15,10A,Интеллектуал
12.05.2024,Бекхожин Олжас,olzhas.bekhozhin@mail.kz,Гимназия N15,11C,Прагматик
13.05.2024,Бекшанов Арман,arman.bekshanov@mail.kz,Гимназия N15,9B,Контролер
13.05.2024,Бердибекова Назерке,nazerke.berdibekova@mail.kz,Гимназия N15,10C,Генетик
